scenario,iou,f1
Normal,0.331547237833671,0.48623260627949355
Crowded,0.19606856520720353,0.3202701964833605
Highlight,0.17016202304512262,0.2827042154967785
Shadow,0.16346271882454555,0.2730875531832377
No line,0.16588555538328364,0.2751739090308547
Arrow,0.2726127638348511,0.4197841914636748
Curve,0.27581940591335297,0.41950961308819906
Intersection,3.125136027227544e-10,6.250266087006331e-10
Night,0.14180762386982274,0.2368583087994774
Mean,0.19081843269159632,0.30151339938334476
